iter	Passed	Remaining
0	46	46694
1	48	24041
2	49	16381
3	50	12549
4	51	10293
5	53	8785
6	54	7731
7	55	6916
8	56	6273
9	58	5746
10	58	5301
11	60	4942
12	61	4636
13	62	4375
14	63	4147
15	64	3939
16	64	3757
17	65	3594
18	66	3449
19	67	3317
20	71	3318
21	72	3225
22	73	3114
23	74	3012
24	74	2920
25	75	2834
26	76	2754
27	76	2664
28	77	2580
29	77	2501
30	77	2427
31	77	2357
32	78	2292
33	78	2231
34	79	2204
35	80	2150
36	80	2097
37	80	2047
38	81	2001
39	81	1956
40	81	1913
41	82	1873
42	82	1834
43	82	1797
44	82	1761
45	83	1725
46	83	1691
47	83	1660
48	83	1629
49	84	1600
50	84	1572
51	84	1545
52	85	1519
53	85	1494
54	85	1470
55	86	1451
56	86	1429
57	86	1407
58	86	1386
59	87	1365
60	87	1345
61	87	1326
62	87	1307
63	88	1288
64	88	1271
65	88	1254
66	88	1237
67	89	1221
68	89	1209
69	89	1194
70	90	1179
71	90	1165
72	90	1151
73	90	1138
74	91	1124
75	91	1111
76	91	1099
77	91	1086
78	92	1074
79	92	1063
80	92	1051
81	92	1040
82	93	1028
83	93	1017
84	93	1007
85	93	997
86	94	987
87	94	977
88	94	968
89	94	958
90	95	949
91	95	940
92	95	931
93	95	923
94	96	914
95	96	906
96	96	898
97	96	890
98	97	882
99	97	875
100	97	867
101	97	860
102	97	853
103	98	846
104	98	839
105	98	832
106	98	825
107	99	821
108	99	814
109	99	808
110	100	802
111	100	796
112	100	790
113	100	784
114	101	778
115	101	773
116	101	767
117	101	761
118	102	756
119	102	751
120	102	745
121	102	740
122	103	735
123	103	730
124	103	725
125	103	720
126	104	715
127	104	710
128	104	706
129	104	701
130	105	696
131	105	692
132	105	687
133	105	683
134	106	679
135	106	675
136	106	671
137	106	666
138	107	662
139	107	658
140	107	654
141	107	650
142	107	646
143	108	643
144	108	639
145	108	635
146	108	631
147	109	628
148	109	624
149	109	620
150	109	617
151	110	613
152	110	610
153	110	607
154	110	603
155	110	600
156	111	597
157	111	593
158	111	590
159	111	587
160	112	583
161	112	582
162	112	578
163	112	575
164	113	572
165	113	569
166	113	567
167	113	564
168	114	561
169	114	558
170	114	555
171	114	553
172	115	550
173	115	547
174	115	545
175	115	543
176	116	540
177	116	538
178	116	535
179	117	533
180	117	530
181	117	528
182	117	525
183	118	523
184	118	520
185	118	518
186	118	516
187	118	513
188	119	511
189	119	509
190	119	506
191	119	504
192	120	502
193	120	500
194	120	498
195	120	496
196	121	494
197	121	491
198	121	489
199	121	487
200	122	485
201	122	483
